pickup_date,comp_dist_bins,post_treatment_time_dummy,Count
2010-01-19,1.0,0,16034
2010-01-19,1.0,1,16072
2010-01-19,2.0,0,24588
2010-01-19,2.0,1,23834
2010-01-19,4.0,0,15198
2010-01-19,4.0,1,13506
2010-01-19,8.0,0,5080
2010-01-19,8.0,1,4527
2010-01-19,16.0,0,3212
2010-01-19,16.0,1,2903
2010-01-19,32.0,0,668
2010-01-19,32.0,1,1076
2010-01-20,0.0,0,235
2010-01-20,0.0,1,233
2010-01-20,0.25,0,580
2010-01-20,0.25,1,616
2010-01-20,0.5,0,4152
2010-01-20,0.5,1,4530
2010-01-20,1.0,0,17117
2010-01-20,1.0,1,17609
2010-01-20,2.0,0,25965
2010-01-20,2.0,1,25023
2010-01-20,4.0,0,15636
2010-01-20,4.0,1,13958
2010-01-20,8.0,0,5315
2010-01-20,8.0,1,4782
2010-01-20,16.0,0,2831
2010-01-20,16.0,1,3053
2010-01-20,32.0,0,632
2010-01-20,32.0,1,1088
2010-01-20,33.0,1,8
2010-01-21,0.0,0,217
2010-01-21,0.0,1,291
2010-01-21,0.25,0,577
2010-01-21,0.25,1,691
2010-01-21,0.5,0,4268
2010-01-21,0.5,1,4672
2010-01-21,1.0,0,17719
2010-01-21,1.0,1,17671
2010-01-21,2.0,0,26332
2010-01-21,2.0,1,25583
2010-01-21,4.0,0,16138
2010-01-21,4.0,1,14461
2010-01-21,8.0,0,5418
2010-01-21,8.0,1,4948
2010-01-21,16.0,0,2625
2010-01-21,16.0,1,3403
2010-01-21,32.0,0,585
2010-01-21,32.0,1,1206
2010-01-22,0.0,0,223
2010-01-22,0.0,1,247
2010-01-22,0.25,0,605
2010-01-22,0.25,1,684
2010-01-22,0.5,0,4155
2010-01-22,0.5,1,4589
2010-01-22,1.0,0,17297
2010-01-22,1.0,1,18118
2010-01-22,2.0,0,26076
2010-01-22,2.0,1,26150
2010-01-22,4.0,0,16446
2010-01-22,4.0,1,15365
2010-01-22,8.0,0,5567
2010-01-22,8.0,1,4936
2010-01-22,16.0,0,2561
2010-01-22,16.0,1,3544
2010-01-22,32.0,0,566
2010-01-22,32.0,1,1234
2010-01-23,0.0,0,190
2010-01-23,0.0,1,217
2010-01-23,0.25,0,364
2010-01-23,0.25,1,569
2010-01-23,0.5,0,2974
2010-01-23,0.5,1,3686
2010-01-23,1.0,0,12671
2010-01-23,1.0,1,16112
2010-01-23,2.0,0,21481
2010-01-23,2.0,1,27631
2010-01-23,4.0,0,15544
2010-01-23,4.0,1,19606
2010-01-23,8.0,0,4659
2010-01-23,8.0,1,5651
2010-01-23,16.0,0,1784
2010-01-23,16.0,1,1769
2010-01-23,32.0,0,557
2010-01-23,32.0,1,830
2010-01-24,0.0,0,172
2010-01-24,0.0,1,265
2010-01-24,0.25,0,377
2010-01-24,0.25,1,589
2010-01-24,0.5,0,2444
2010-01-24,0.5,1,3818
2010-01-24,1.0,0,10449
2010-01-24,1.0,1,16752
2010-01-24,2.0,0,17432
2010-01-24,2.0,1,27648
2010-01-24,4.0,0,12957
2010-01-24,4.0,1,20168
2010-01-24,8.0,0,4338
2010-01-24,8.0,1,6009
2010-01-24,16.0,0,2110
2010-01-24,16.0,1,2970
2010-01-24,32.0,0,573
2010-01-24,32.0,1,1101
2010-01-25,0.0,0,261
2010-01-25,0.0,1,230
2010-01-25,0.25,0,772
2010-01-25,0.25,1,751
2010-01-25,0.5,0,5686
2010-01-25,0.5,1,4869
2010-01-25,1.0,0,19879
2010-01-25,1.0,1,16893
2010-01-25,2.0,0,25435
2010-01-25,2.0,1,22196
2010-01-25,4.0,0,15004
2010-01-25,4.0,1,12318
2010-01-25,8.0,0,4779
2010-01-25,8.0,1,3932
2010-01-25,16.0,0,1558
2010-01-25,16.0,1,1707
2010-01-25,32.0,0,611
2010-01-25,32.0,1,880
2010-01-26,0.0,0,210
2010-01-26,0.0,1,255
2010-01-26,0.25,0,614
2010-01-26,0.25,1,657
2010-01-26,0.5,0,4010
2010-01-26,0.5,1,4533
2010-01-26,1.0,0,16619
2010-01-26,1.0,1,16986
2010-01-26,2.0,0,24835
2010-01-26,2.0,1,24281
2010-01-26,4.0,0,15052
2010-01-26,4.0,1,13709
2010-01-26,8.0,0,5069
2010-01-26,8.0,1,4674
2010-01-26,16.0,0,2960
2010-01-26,16.0,1,3121
2010-01-26,32.0,0,621
2010-01-26,32.0,1,967
2010-01-27,0.0,0,227
2010-01-27,0.0,1,253
2010-01-27,0.25,0,558
2010-01-27,0.25,1,704
2010-01-27,0.5,0,4244
2010-01-27,0.5,1,4671
2010-01-27,1.0,0,17193
2010-01-27,1.0,1,18125
2010-01-27,2.0,0,25513
2010-01-27,2.0,1,25273
2010-01-27,4.0,0,15599
2010-01-27,4.0,1,13788
2010-01-27,8.0,0,5289
2010-01-27,8.0,1,4826
2010-01-27,16.0,0,2761
2010-01-27,16.0,1,3171
2010-01-27,32.0,0,574
2010-01-27,32.0,1,1133
2010-01-28,0.0,0,244
2010-01-28,0.0,1,244
2010-01-28,0.25,0,614
2010-01-28,0.25,1,583
2010-01-28,0.5,0,4667
2010-01-28,0.5,1,4307
2010-01-28,1.0,0,18476
2010-01-28,1.0,1,17133
2010-01-28,2.0,0,26311
2010-01-28,2.0,1,24328
2010-01-28,4.0,0,15472
2010-01-28,4.0,1,13754
2010-01-28,8.0,0,5139
2010-01-28,8.0,1,4595
2010-01-28,16.0,0,2261
2010-01-28,16.0,1,3514
2010-01-28,32.0,0,556
2010-01-28,32.0,1,1256
2010-01-29,0.0,0,230
2010-01-29,0.0,1,274
2010-01-29,0.25,0,721
2010-01-29,0.25,1,902
2010-01-29,0.5,0,5389
2010-01-29,0.5,1,5864
2010-01-29,1.0,0,20504
2010-01-29,1.0,1,21556
2010-01-29,2.0,0,28642
2010-01-29,2.0,1,28848
2010-01-29,4.0,0,17106
2010-01-29,4.0,1,15988
2010-01-29,8.0,0,5697
2010-01-29,8.0,1,5251
2010-01-29,16.0,0,2920
2010-01-29,16.0,1,3722
2010-01-29,32.0,0,676
2010-01-29,32.0,1,1253
2010-01-30,0.0,0,170
2010-01-30,0.0,1,238
2010-01-30,0.25,0,474
2010-01-30,0.25,1,736
2010-01-30,0.5,0,3744
2010-01-30,0.5,1,5102
2010-01-30,1.0,0,14735
2010-01-30,1.0,1,20233
2010-01-30,2.0,0,22390
2010-01-30,2.0,1,30786
2010-01-30,4.0,0,15724
2010-01-30,4.0,1,20788
2010-01-30,8.0,0,4854
2010-01-30,8.0,1,5930
2010-01-30,16.0,0,1809
2010-01-30,16.0,1,1981
2010-01-30,32.0,0,478
2010-01-30,32.0,1,833
2010-01-31,0.0,0,179
2010-01-31,0.0,1,270
2010-01-31,0.25,0,377
2010-01-31,0.25,1,596
2010-01-31,0.5,0,2863
2010-01-31,0.5,1,3664
2010-01-31,1.0,0,11544
2010-01-31,1.0,1,15862
2010-01-31,2.0,0,18772
2010-01-31,2.0,1,26324
2010-01-31,4.0,0,13640
2010-01-31,4.0,1,18767
2010-01-31,8.0,0,4552
2010-01-31,8.0,1,5762
2010-01-31,16.0,0,2411
2010-01-31,16.0,1,3430
2010-01-31,32.0,0,511
2010-01-31,32.0,1,1303
2010-01-15,33.0,1,11
2010-01-16,33.0,0,9
2010-01-25,33.0,1,10
2010-01-29,33.0,0,5
2010-01-04,33.0,0,15
2010-01-14,33.0,0,5
2010-01-20,33.0,0,4
2010-01-21,33.0,0,3
2010-01-05,33.0,0,5
2010-01-18,33.0,1,6
2010-01-22,33.0,0,5
2010-01-06,33.0,1,6
2010-01-13,33.0,0,5
2010-01-19,33.0,1,3
2010-01-21,33.0,1,10
2010-01-25,33.0,0,7
2010-01-28,33.0,1,8
2010-01-03,33.0,0,6
2010-01-05,33.0,1,12
2010-01-09,33.0,0,4
2010-01-09,33.0,1,2
2010-01-10,33.0,0,3
2010-01-16,33.0,1,5
2010-01-01,33.0,0,6
2010-01-03,33.0,1,9
2010-01-27,33.0,0,4
2010-01-01,33.0,1,14
2010-01-11,33.0,0,6
2010-01-28,33.0,0,3
2010-01-10,33.0,1,8
2010-01-17,33.0,1,12
2010-01-18,33.0,0,8
2010-01-27,33.0,1,2
2010-01-29,33.0,1,6
2010-01-30,33.0,1,3
2010-01-31,33.0,0,6
2010-01-08,33.0,0,5
